sec,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10
1991.137,44714.867,43555.285,40306.645,48768.238,46885.188,40397.742,43097.754,46595.668,37881.051,35899.254
2001.194,42038.852,42112.145,39462.715,48179.617,45335.797,39998.656,44104.367,46890.332,35932.199,37905.906
2011.25,42319.102,41700.387,39484.27,46830,46001.375,39555.188,43439.02,47292.652,39139.949,36419.43
2021.306,42998.891,42978.039,40977.965,47873.129,45168.609,39491.188,44090.203,48361.055,36423.648,36942.191
2031.362,41524.332,41316.734,39046.98,46750.684,44799.484,39722.672,42562.633,47486.734,37691.25,36802.637
2041.419,43264.816,42668.305,40380.5,47722.555,43101.797,39673.457,44209.918,46085.457,37631,36057.953
2051.475,41673.816,43192.715,38452.52,46616.57,42945.578,39641.398,43006.164,46162.141,36682.398,35004.062
2061.531,41180.867,42189.715,40300.375,49608.617,43004.781,39589.613,43998.754,46931.016,37458.551,35537.855
2071.587,43455.918,42830.266,39666.02,48795.637,44829.156,41799.672,44498.57,45239.984,35544.148,35411.953
2081.644,42501.625,42390.266,38689.82,46988.906,43309.344,40838.758,45051.164,46250.793,37855.148,34453.793
2091.7,42316.227,42010.121,40309.715,48374.031,45122.891,42834.387,43762.938,44995.609,37432.602,33900.855
2101.756,42491.516,41541.98,39207.195,47654.078,52411.969,39991.301,43748.898,46806.457,39183.199,34527.746
2111.812,41714.051,41232.328,41107.34,47117.555,45993.219,40237.602,43301.734,45510.625,38579.551,34631.73
2121.869,41085.957,39652,39241,46219.699,44147.344,41375.871,44716.715,46593.293,36682.352,34262.129
2131.925,41458.234,40461.469,38889.91,47558.223,44829.109,39754.73,43889.652,46492.707,36268.5,33763.969
2141.981,42638.125,41373.02,39869.305,47133.969,43573.312,39831.156,45603.695,45857.918,35923.648,33024.824
2152.037,41715.465,41957.328,38505,46014.316,43527.578,37695.043,44473.855,44739.277,36337.398,32690.857
2162.094,42612.301,41675.734,39216.465,46397.539,43541.094,40114.527,44811.836,45661.445,36811.852,32263.857
2172.15,41692.465,41830.672,38018.34,45562.637,42670.672,38135.984,45269.305,47108.332,38165.699,33298.586
2182.206,42317.66,40767.695,38461.93,53317.906,43376.719,38520.414,43467.203,45223.168,39053.75,32020.191
2192.262,41939.707,41260.469,38471.16,50293.016,43029.016,38498.23,46504.715,52873.891,38562.25,32994.684
2202.319,41504.199,39972.223,38843.785,48316.539,41762.531,39257.102,44040.98,47192.109,65336.699,33325.922
2212.375,42020.148,42274.082,40611.57,47144.891,42940.094,39900.129,45698.695,45898.723,44512.199,33566.871
2222.431,40985.324,40911.898,37827.395,45647.461,43568.031,37911.812,46117.512,44535.766,39907.352,32031.047
2232.487,42300.367,42267.062,37926.125,50241,43427.938,37943.828,44973.672,46509.43,38407.102,32392.492
2242.544,42140.891,42333.938,39197.895,47722.555,40695.453,39387.586,44642.836,44241.043,39372.898,32351.428
2252.6,41535.793,41746.121,40211.105,47213.316,40269.641,38554.914,45255.203,45469.891,38613.898,34199.238
2262.656,42245.809,41246.348,39435.02,47372.109,40665.812,39227.473,44283.777,44097.391,40364.5,30572.016
2272.712,42911.191,41679.223,41390.695,47525.383,39771.109,39907.484,45241.184,45905.848,37458.398,32091.27
2282.769,43161.301,43168.121,42499.285,47952.477,39639.078,40715.57,44959.531,44660.277,40355.801,30988.143
2292.825,43424.301,42939.285,41535.43,47262.637,39631,45396.73,44734.285,46801.68,38562.352,31324.857
2302.881,41517.133,40904.98,42804.23,44486.777,40008.234,46276.258,44382.367,43350.043,38941.602,31163.318
2312.938,43211.602,41439.961,41621.66,46964.191,39102.844,44354.57,44850.551,44998.043,40364.5,33052.191
2322.994,41956.918,41471.613,39299.57,45004.16,38259.391,41779.941,45850.102,44744.098,36967.051,31667.047
2333.05,41783.035,42214.328,37451.73,44919.285,38111.172,38796.355,44674.488,44557.277,38976.199,31461.699
2343.106,42363.668,42492.328,38723.52,44410.145,38057.281,37672.828,45603.672,44528.457,39027.801,31081.223
