Time,cell7_1,cell7_2,cell7_5,cell7_7,cell7_8
890,0.844487151,0.342156197,0.393911573,0.810838037,0.832535498
895,0.812731016,0.372470653,0.335922364,0.66888743,0.801341659
900,0.854630222,0.391498881,0.290399222,0.667475837,0.8278942
905,0.831060513,0.397229973,0.30852635,0.626988795,0.88892187
910,0.946097785,0.38300279,0.319379161,0.706401572,1.021188064
915,0.973198452,0.379182063,0.281746305,0.771612873,1.065442299
920,1.028704217,0.491466204,0.328442724,0.750524535,1.10006854
925,1.069703816,0.487821431,0.333018504,0.727468523,1.100651401
930,1.039544484,0.423321519,0.273650695,0.690553237,1.102292046
935,0.939620613,0.530402433,0.292012478,0.58806306,0.998672373
940,0.915960944,0.589498027,0.344193966,0.670619839,1.012272455
945,0.860117826,0.618555664,0.274266665,0.646366112,0.850971165
950,0.871767739,0.719578715,0.360238527,0.562953822,0.786316806
955,0.838842116,0.727094488,0.336127688,0.576449502,0.704306153
960,0.777691316,0.793303672,0.258750079,0.48865272,0.658994134
965,0.746542416,0.807505719,0.264645795,0.498598032,0.688806377
970,0.726908489,0.898499359,0.215456163,0.413709986,0.615452284
975,0.656176872,0.830430083,0.198560976,0.5220818,0.634600336
980,0.590865388,0.820325265,0.121799337,0.40821333,0.537025144
985,0.625387815,0.925546088,0.217333406,0.41779505,0.567873584
990,0.71714775,1.092853731,0.271773452,0.474173202,0.602305538
995,0.708556502,1.064298821,0.319056509,0.54639969,0.622468199
1000,0.68710087,1.106326823,0.336245015,0.452956538,0.624497418
1005,0.702641584,1.240705829,0.349033733,0.510339916,0.579746671
1010,0.664138396,1.284694467,0.311547538,0.434627222,0.579466035
1015,0.664025945,1.217907146,0.322107029,0.471863324,0.5312613
1020,0.654827461,1.17736219,0.367102197,0.438562571,0.570161852
1025,0.68096105,1.201618782,0.367102197,0.640078108,0.572881868
1030,0.740560028,1.174622326,0.426499338,0.607098172,0.583783521
1035,0.769909713,1.214689692,0.31433407,0.633683166,0.647790257
1040,0.757450153,1.100143277,0.330319967,0.635436963,0.561051956
1045,0.80944745,0.984314908,0.379714923,0.513954448,0.533009882
1050,0.784325919,0.901867632,0.288668639,0.51145208,0.519539324
1055,0.705475347,0.69693085,0.248894553,0.470130915,0.433945157
1060,0.739772872,0.658648166,0.329762661,0.503624157,0.482020368
1065,0.762847797,0.660156348,0.354078824,0.493700233,0.491367726
1070,0.653163188,0.529371842,0.337652948,0.477723572,0.414818693
1075,0.601683165,0.507704296,0.361206481,0.468056301,0.393360785
1080,0.635036102,0.551064525,0.349737699,0.441214654,0.379048318
1085,0.675743329,0.444913657,0.418169072,0.561028923,0.383365804
1090,0.635238514,0.483372295,0.364814307,0.534422541,0.390942993
1095,0.578158437,0.369026971,0.318645863,0.463778748,0.287560782
1100,0.505919978,0.358243471,0.319643148,0.577968034,0.359490105
1105,0.466112359,0.314908378,0.283271565,0.505762934,0.260079981
1110,0.413665258,0.290702059,0.268781596,0.392279444,0.325252438
1115,0.404421794,0.340019606,0.256960832,0.462752135,0.308781228
1120,0.374307443,0.279918558,0.180345853,0.516349878,0.347940829
1125,0.35143493,0.218761783,0.227306259,0.499111338,0.372550501
1130,0.291656031,0.176733781,0.206069948,0.487754434,0.3610444
1135,0.240873204,0.107784732,0.235049886,0.346809052,0.270290837
1140,0.26412805,0.22617701,0.291777822,0.380858377,0.251272309
1145,0.181499128,0.145589825,0.264792455,0.33983664,0.255956782
1150,0.221261767,0.149787598,0.287700685,0.341376559,0.19015829
