sec,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10
1548.662,22448.537,23843.25,21532.066,26059.146,18303.963,45487.363,25121.428,28150.799,34849.297,35613.5
1558.719,22323.275,24016.613,21704.467,25550.896,18267.111,45406.746,25064.785,27852.576,35033.488,37035.766
1568.775,22625.887,23688.213,22597,26122.979,18120.926,46891.461,24533.072,27553.959,34339.344,37103.047
1578.831,22055.613,24387.324,22714.367,26205.896,18329.379,47199.637,24360.904,27730.566,33882.203,35803.031
1588.887,22115.574,23465.713,22631.934,26137.209,18064.139,47873.73,24357.547,27834.586,34447.215,35677.094
1598.944,22435.426,23355.301,22377.066,26249.709,18278.518,47838.777,24642.023,27804.051,35201.238,35981.047
1609,22520.088,23493.738,22555.732,26256.479,18038.297,46638.871,24227.977,28109.152,34774.082,35588.484
1619.056,22703.662,23037.162,22053.834,26293.625,18012.371,45577.363,24882.809,28217.787,34610.094,34869.125
1629.112,22708.262,22867.225,22702.199,26797,17966.639,46393.238,24167.928,27814.213,34507.656,35549.922
1639.169,22276.975,22719.738,22715.934,26972.479,18110.324,46699.746,24394.643,28223.768,34631.918,36339.344
1649.225,22438.275,22814.725,23222.334,26831.396,18115.889,46249.43,24399.023,28621.859,34637.309,36438.062
1659.281,22547.512,21864.5,22712.801,26820.834,18130.695,47580.191,24773.785,27855.322,34645.5,35376.172
1669.337,22601.301,22885.025,22430.633,26142.979,17985.26,47413.922,24786.928,28754.879,34834.035,35132.984
1679.394,23103.537,22660.188,22882.166,26599.709,18162.426,47365.16,24721.453,27795.768,34300.07,34872.641
1689.45,22851.262,22496.6,22612.1,26238.271,17964.092,49154.398,24479.643,27833.627,34897.773,35310.328
1699.506,22918.199,23282.662,22734.199,25930.312,18121.314,47156.047,25443.881,28239.959,34649.906,35578.5
1709.562,23030.963,22565.775,23014.934,26485.271,18124.297,45926.109,25211.834,28058.312,34501.715,34702.562
1719.619,23079.551,22531.449,22244.467,25829.25,17858.166,46099.031,25066.977,28024.484,34327.344,35494.812
1729.675,23557.176,22654.449,22912.6,25794.979,18207.297,46631.523,24927.453,27845.191,35213.227,34076.109
1739.731,23008.613,22030.4,22744.9,26172.5,18201.871,46378.746,24598.428,27658.898,34387.285,35071.531
1749.787,23239.15,22321.551,23162.9,25951.25,18221.732,46925.652,25980.072,28032.484,34782.285,35714.359
1759.844,23434.238,22208.287,23152.199,26033.354,18120.027,47152.363,25010.285,27676.465,35074.809,35128.688
1769.9,23351.9,22984.037,22632.033,25758.729,17937.842,46380.891,24907.904,28206.213,34846.547,34921.344
1779.956,23255.762,22481.801,23048.4,25736.834,17826.797,46622.809,24741.166,28037.494,35147.32,35431.906
1790.012,23767.762,22636.25,22670.232,25796.896,18300.518,47274.398,24852.334,27970.445,35085.18,35770.172
1800.069,24027.488,22793.488,23265.166,26041.875,18301.01,46275.508,24166.928,27533.596,35020.418,56016.953
1810.125,23952.512,22463.988,23921.066,25914.146,18059.861,46557.383,24086.285,27614.949,34843.285,34637.391
1820.181,23977.637,22144.801,23635.867,25745.375,18205.658,45490.238,24259.453,27441.688,35487.32,35054.359
1830.237,23492.025,22315.863,22966.133,25822.521,17746.287,45131.383,24966.666,27443.484,35789.094,35220.969
1840.294,23897.051,22740.938,23368.834,25916.062,17984.027,45237.445,23857.477,27687.99,35340.703,35715.219
1850.35,23597.275,22818.725,22819.6,25682.5,17938.703,44848.777,24823.928,27600.223,35527.605,36490.234
1860.406,23576.688,22463.949,22601.5,25789.25,17709.055,45694.398,24250.762,27939.475,35634.383,34421.469
1870.462,23665.912,22571.562,22805.9,25571.959,17770.871,45260.715,23757.191,27298.303,35472.523,35207.375
1880.519,23443.9,22344.438,22551.133,25485.104,17773,45885.461,24112.477,27516.061,35183.238,35208.75
1890.575,23474.262,22902.213,22336,25524.229,17808.621,45172.793,24522.072,27897.889,35564.145,35389.75
1900.631,23525.225,22471.463,22383.367,25875.041,17606.861,45815.73,24639.691,28191.465,35486.738,35612.828
1910.687,23410.762,23096.199,22262.867,25413.646,17854.361,46419.363,24948.238,27941.799,35567.977,34925.672
1920.744,23265.512,23244.262,22148.5,25232.396,17984.037,45411.84,24671.381,27909.949,35624,35412.625
1930.8,23750.588,23071,22674.699,25096.062,17794.648,44678.145,24291.119,28042.121,35379.953,35214.562
1940.856,23287.188,23260.9,22543.5,24781.375,17895.482,45602.906,25046.262,27764.727,35630.035,35604.938
1950.912,23421.1,23086.4,22418.434,25585.25,17659.408,45379.809,24108.072,27800.363,35505.785,35132.969
1960.969,23238.625,23501.188,21811.166,25617.625,17808.592,45554.969,23516.381,27472.586,36007.047,34863.422
1971.025,23171.65,23629.238,22944.666,25293.479,17761.111,44567.746,24140.785,27584.92,35998.355,35213.828
1981.081,22994.301,23338.088,22709.834,26117.291,18182.305,44539.398,23872.619,28109.605,36181.941,35634.25
1991.137,22846.15,23222.574,22291.834,25873.166,18055.639,45116.891,23674.357,27770.293,35083.559,35639.281
2001.194,22965.713,23000.012,22792.166,26039.021,17928.537,44734.016,23412.857,27511.414,35650.156,34317.812
2011.25,23086.963,23040.074,22461.1,26345.062,17878.518,44887.301,23935.977,27025.586,35588.082,34440.734
2021.306,22284.975,22969.125,22212.5,25727.291,18214.158,43509.27,23746.215,26969.213,35356.547,34876.312
2031.362,22710.512,23363.312,22810.467,25668.084,17984.814,44492.145,24160.453,27028.322,35331.441,35697.922
2041.419,23360.5,23095.574,23199.5,25836.916,17955.232,44803.031,23925.072,26853.131,35164.18,34599.516
2051.475,23144.225,23463.949,23316.9,26655.916,17900.936,44511.031,23857.428,27171.201,35502.57,35583.547
2061.531,23790.025,23194.537,22708.199,26051.521,17748.416,45181.523,23168.809,27067.615,35649.094,34542.359
2071.587,23187.738,23115.574,24075.133,25655.791,18016.223,45823.715,23838.904,27071.334,34822.559,35571.281
2081.644,23164.162,22939.375,25127.732,26080.021,17887.445,45854.191,23625.381,27068.162,35434.977,34759.031
2091.7,23219.688,23179.699,23075.9,25595.688,18169.602,45367.508,23652.596,26861.939,35555.918,35327.5
2101.756,23305.562,22927.412,24105.633,26711.25,17954.371,45692.984,24211.547,27211.434,34962.059,35691.453
2111.812,23045.199,22910.738,24096.4,26364.166,17915.768,45036.254,23638.428,27045.92,35393.07,35471.234
2121.869,23269.488,22795.225,24084.232,25743.5,18185.352,44100.586,23393.238,27627.02,34953.832,35831.719
2131.925,23263.162,22954.863,23384.066,26151.541,17977.232,44475.445,23051.096,27384.303,34828.07,35620
2141.981,23178.463,23274.574,23959.199,25990.396,17696.713,44452.176,22842.977,27069.516,35418.07,35112.266
2152.037,23046.975,22994.863,24162.033,26440.438,18545.51,44136.906,23504.404,27346.434,34881.953,35946.734
2162.094,23278.012,22513.137,22709.801,26281.25,18312.398,43979.285,23222.143,27284.908,35402.785,34901.281
2172.15,23541.775,23176.275,24105.566,25981.812,18431.879,43426.508,24199.523,26487.041,35029.047,35238.109
2182.206,22828.412,23358.188,22897.5,25887.459,18383.629,44109.27,24261.785,26769.92,35371.227,35431.188
2192.262,23468.551,23632.176,22876.133,26032.312,18149.287,43531.078,23622.047,27089.879,34929.918,35306.734
2202.319,23167.113,23337.512,22384.867,25580.438,18097.176,42069.523,23432.428,26593.848,34925.594,35391.094
2212.375,23095.012,23656.775,23053.033,25443.209,18334.871,42493.699,23721.191,26271.605,35269.855,35287.422
2222.431,23548.6,23403.387,23587,26252.584,18075.584,43103.938,23995.809,26656.717,35341.203,36102.672
2232.487,23118.988,23585.812,23568.699,25460.291,18092.111,42652.109,23826.928,26816.121,34252.691,35930.297
2242.544,22993.162,23568.637,22535.867,26275.562,18132.305,41850.824,23339.881,26845.312,35790.227,34975.031
2252.6,23272.926,23311.238,23344.4,25694.791,18217.473,42979.762,23679.762,26287.777,34801.832,35434.734
2262.656,23608.713,23311.262,24307.1,26366,18388.287,42208.207,24293.309,26302.586,35425.703,35289.578
2272.712,23004.025,23113.301,23771.533,27054.5,18201.379,42591.762,24078.643,26543.848,35098.773,34641.047
2282.769,23454.812,23556.074,24543.434,26449.979,18142.926,42239.539,23458.643,26555.848,35705.203,34669.641
2292.825,23491.975,23911.863,24734.199,25980.812,18353.953,42014.316,23038,26668.688,34819.355,35383.969
2302.881,23328.975,23909.65,24456.533,26444.312,18225.99,41831.938,22960.691,26527.252,35065.594,34658.906
2312.938,23186.574,23552.65,24488.566,25568.084,18300.564,41609.016,23091.428,26412.566,35957.453,35070.828
